Receipt_Code  | Date       | Customer_Name           | Product_Name           | Qty  | Unit_Price | Total_Price
---------------------------------------------------------------------------------------------------------
B1001         | 01-05-2026 | Hamza Belhadj           | El Widian Olive Oil    | 5    | 900.00     | 4500.00    
B1001         | 01-05-2026 | Hamza Belhadj           | Fleurial Oil 1L        | 1    | 250.00     | 250.00     
B1001         | 01-05-2026 | Hamza Belhadj           | Test Dish Liquid       | 3    | 170.00     | 510.00     
B1001         | 01-05-2026 | Hamza Belhadj           | Ami Chips              | 4    | 90.00      | 360.00     
B1001         | 01-05-2026 | Hamza Belhadj           | Candia Milk 1L         | 1    | 135.00     | 135.00     
B1001         | 01-05-2026 | Hamza Belhadj           | Palmary Chocolate      | 1    | 140.00     | 140.00     
B1001         | 01-05-2026 | Hamza Belhadj           | Le Chat Liquid Soap    | 4    | 130.00     | 520.00     
B1002         | 01-05-2026 | Hamza Belhadj           | Sim Flour 1kg          | 4    | 85.00      | 340.00     
B1002         | 01-05-2026 | Hamza Belhadj           | Rouiba Juice 1L        | 5    | 190.00     | 950.00     
B1002         | 01-05-2026 | Hamza Belhadj           | El Benna Tea 100g      | 5    | 150.00     | 750.00     
B1002         | 01-05-2026 | Hamza Belhadj           | Facto Coffee 250g      | 5    | 320.00     | 1600.00    
B1003         | 01-05-2026 | Said Oudina             | Tartino Cheese Spread  | 1    | 280.00     | 280.00     
B1003         | 01-05-2026 | Said Oudina             | N'goussa Dates 1kg     | 3    | 450.00     | 1350.00    
B1003         | 01-05-2026 | Said Oudina             | Marissa Harissa        | 3    | 80.00      | 240.00     
B1003         | 01-05-2026 | Said Oudina             | Bref Bleach 1L         | 4    | 110.00     | 440.00     
B1003         | 01-05-2026 | Said Oudina             | Benamor Couscous 1kg   | 2    | 165.00     | 330.00     
B1003         | 01-05-2026 | Said Oudina             | Ifri Water 1.5L        | 3    | 40.00      | 120.00     
B1003         | 01-05-2026 | Said Oudina             | Bimo Biscuits          | 2    | 65.00      | 130.00     
B1003         | 01-05-2026 | Said Oudina             | Mina Salt 1kg          | 2    | 35.00      | 70.00      
B1004         | 01-05-2026 | Hamza Belhadj           | N'goussa Dates 1kg     | 1    | 450.00     | 450.00     
B1004         | 01-05-2026 | Hamza Belhadj           | Ami Chips              | 3    | 90.00      | 270.00     
B1004         | 01-05-2026 | Hamza Belhadj           | Amor Benamor Pasta     | 3    | 75.00      | 225.00     
B1004         | 01-05-2026 | Hamza Belhadj           | Benamor Couscous 1kg   | 2    | 165.00     | 330.00     
B1004         | 01-05-2026 | Hamza Belhadj           | Faderco Cotex          | 5    | 220.00     | 1100.00    
B1005         | 01-05-2026 | Redouane Khelifi        | Ifri Water 1.5L        | 4    | 40.00      | 160.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Fleurial Oil 1L        | 2    | 250.00     | 500.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Marissa Harissa        | 4    | 80.00      | 320.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Le Chat Liquid Soap    | 5    | 130.00     | 650.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Mina Salt 1kg          | 1    | 35.00      | 35.00      
B1005         | 01-05-2026 | Redouane Khelifi        | Bimo Biscuits          | 2    | 65.00      | 130.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Bref Bleach 1L         | 2    | 110.00     | 220.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Jumbo Tomato Paste     | 4    | 120.00     | 480.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Ami Chips              | 2    | 90.00      | 180.00     
B1005         | 01-05-2026 | Redouane Khelifi        | Candia Milk 1L         | 3    | 135.00     | 405.00     
B1006         | 02-05-2026 | Said Oudina             | Bref Bleach 1L         | 5    | 110.00     | 550.00     
B1006         | 02-05-2026 | Said Oudina             | Awane Shampoo          | 2    | 290.00     | 580.00     
B1006         | 02-05-2026 | Said Oudina             | Bonal Tuna Can         | 2    | 210.00     | 420.00     
B1006         | 02-05-2026 | Said Oudina             | Isis Powder Detergent  | 3    | 380.00     | 1140.00    
B1006         | 02-05-2026 | Said Oudina             | Rouiba Juice 1L        | 5    | 190.00     | 950.00     
B1006         | 02-05-2026 | Said Oudina             | Mina Salt 1kg          | 3    | 35.00      | 105.00     
B1006         | 02-05-2026 | Said Oudina             | Benamor Couscous 1kg   | 4    | 165.00     | 660.00     
B1006         | 02-05-2026 | Said Oudina             | Tartino Cheese Spread  | 5    | 280.00     | 1400.00    
B1006         | 02-05-2026 | Said Oudina             | Test Dish Liquid       | 2    | 170.00     | 340.00     
B1007         | 02-05-2026 | Rachid Bouras           | Le Chat Liquid Soap    | 2    | 130.00     | 260.00     
B1007         | 02-05-2026 | Rachid Bouras           | Soummam Yogurt         | 2    | 45.00      | 90.00      
B1007         | 02-05-2026 | Rachid Bouras           | Sim Flour 1kg          | 3    | 85.00      | 255.00     
B1007         | 02-05-2026 | Rachid Bouras           | Mama Semolina 1kg      | 3    | 110.00     | 330.00     
B1008         | 02-05-2026 | Kamel Benmeidi          | Ifri Water 1.5L        | 1    | 40.00      | 40.00      
B1008         | 02-05-2026 | Kamel Benmeidi          | Marissa Harissa        | 4    | 80.00      | 320.00     
B1008         | 02-05-2026 | Kamel Benmeidi          | Fleurial Oil 1L        | 4    | 250.00     | 1000.00    
B1008         | 02-05-2026 | Kamel Benmeidi          | Cevital Sugar 1kg      | 4    | 105.00     | 420.00     
B1008         | 02-05-2026 | Kamel Benmeidi          | Sim Flour 1kg          | 1    | 85.00      | 85.00      
B1008         | 02-05-2026 | Kamel Benmeidi          | Bref Bleach 1L         | 1    | 110.00     | 110.00     
B1008         | 02-05-2026 | Kamel Benmeidi          | Mama Semolina 1kg      | 1    | 110.00     | 110.00     
B1008         | 02-05-2026 | Kamel Benmeidi          | Nadhif Soap Bar        | 5    | 70.00      | 350.00     
B1008         | 02-05-2026 | Kamel Benmeidi          | Candia Milk 1L         | 1    | 135.00     | 135.00     
B1009         | 02-05-2026 | Mourad Meziane          | Bonal Tuna Can         | 5    | 210.00     | 1050.00    
B1009         | 02-05-2026 | Mourad Meziane          | Facto Coffee 250g      | 3    | 320.00     | 960.00     
